,date,USD,RUR,EUR,KZT,UAH,BYR
0,2003-01,31.7844,1,33.2719,0.203925,5.9419,0.016425
1,2003-02,31.8345,1,34.429,0.205576,5.94182,0.016256
2,2003-03,31.5729,1,33.9409,0.208194,5.89454,0.015989
3,2003-04,31.3175,1,34.1079,0.206063,5.8414,0.015641
4,2003-05,31.1021,1,34.5513,0.204875,5.77205,0.015331
5,2003-06,30.709,1,36.4669,0.204125,5.63882,0.015008
6,2003-07,30.3267,1,34.9303,0.205608,5.63966,0.014682
7,2003-08,30.3031,1,34.0122,0.20633,5.64945,0.014565
8,2003-09,30.5458,1,33.634,0.207069,5.67734,0.014523
9,2003-10,30.5693,1,35.7141,0.205733,5.66896,0.014459
10,2003-11,29.9451,1,34.7992,0.202923,5.55465,0.014038
11,2003-12,29.7038,1,35.6624,0.20265,5.50938,0.01381
12,2004-01,29.4545,1,37.0979,0.20567,5.474,0.013575
13,2004-02,28.4937,1,35.3635,0.204323,5.27896,0.013192
14,2004-03,28.5162,1,35.7593,0.204959,5.29795,0.013228
15,2004-04,28.5024,1,34.9639,0.20521,5.29204,0.013245
16,2004-05,28.9612,1,34.6289,0.209668,5.40129,0.013421
17,2004-06,29.0053,1,35.5054,0.212294,5.43629,0.013452
18,2004-07,29.0388,1,35.3344,0.213649,5.44307,0.013436
19,2004-08,29.1019,1,35.0532,0.213478,5.455,0.013455
20,2004-09,29.2552,1,35.627,0.215554,5.47133,0.013513
21,2004-10,29.2175,1,36.3203,0.2175,5.4344,0.013452
22,2004-11,28.7651,1,36.7819,0.218149,5.34717,0.013209
23,2004-12,28.0161,1,37.3062,0.215442,5.21492,0.012845
24,2005-01,27.7487,1,37.8409,0.213438,5.12337,0.012749
25,2005-02,27.9656,1,36.4643,0.21509,5.25294,0.012854
26,2005-03,27.7091,1,36.5511,0.212833,5.24218,0.01282
27,2005-04,27.8831,1,36.1532,0.210386,5.32598,0.01293
28,2005-05,27.7726,1,36.0072,0.211391,5.46974,0.012899
29,2005-06,28.2885,1,34.8741,0.215124,5.572,0.01314
30,2005-07,28.6794,1,34.5415,0.21211,5.68325,0.013324
31,2005-08,28.595,1,34.8173,0.210407,5.6771,0.013295
32,2005-09,28.4637,1,35.1128,0.210364,5.63705,0.01322
33,2005-10,28.5348,1,34.3074,0.213347,5.59429,0.013256
34,2005-11,28.581,1,34.2743,0.213746,5.56115,0.013283
35,2005-12,28.816,1,33.9395,0.215013,5.67032,0.013394
36,2006-01,28.7825,1,34.185,0.215337,5.67232,0.013363
37,2006-02,28.1042,1,34.1354,0.213323,5.49103,0.013062
38,2006-03,28.0245,1,33.4472,0.215214,5.48221,0.01302
39,2006-04,27.6996,1,33.6273,0.215729,5.42258,0.012875
40,2006-05,27.2739,1,34.1906,0.21917,5.37279,0.012685
41,2006-06,27.0474,1,34.5368,0.222961,5.40203,0.012612
42,2006-07,26.9423,1,34.2383,0.227707,5.34824,0.012572
43,2006-08,26.8416,1,34.172,0.225857,5.31907,0.012524
44,2006-09,26.7542,1,34.2668,0.213362,5.29671,0.012488
45,2006-10,26.7799,1,33.9783,0.210492,5.29896,0.012505
46,2006-11,26.7285,1,34.0842,0.209105,5.27574,0.01248
47,2006-12,26.2465,1,34.8186,0.205152,5.19342,0.012258
48,2007-01,26.3311,1,34.6965,0.207609,5.21987,0.012291
49,2007-02,26.4882,1,34.4929,0.209924,5.22965,0.01232
50,2007-03,26.1366,1,34.55,0.209419,5.16207,0.012168
51,2007-04,26.0113,1,34.6861,0.210061,5.13966,0.012124
52,2007-05,25.6851,1,35.0653,0.213842,5.08233,0.011948
53,2007-06,25.8983,1,34.8177,0.212081,5.136,0.012046
54,2007-07,25.8162,1,34.715,0.211011,5.11465,0.012019
55,2007-08,25.6008,1,34.9528,0.207364,5.08709,0.011916
56,2007-09,25.6262,1,35.0233,0.202803,5.09528,0.011914
57,2007-10,24.8784,1,35.4443,0.205581,4.94168,0.011563
58,2007-11,24.6847,1,35.6768,0.204121,4.87686,0.011459
59,2007-12,24.4171,1,36.0055,0.20202,4.81239,0.011325
60,2008-01,24.5462,1,35.9332,0.203492,4.82357,0.01139
61,2008-02,24.4201,1,36.3225,0.203365,4.78825,0.011348
62,2008-03,24.0023,1,36.5099,0.198601,4.70975,0.011176
63,2008-04,23.5799,1,36.9851,0.195524,4.67735,0.01098
64,2008-05,23.6588,1,36.8959,0.196499,4.73583,0.011048
