,name,salary_from,salary_to,salary_currency,area_name,published_at
0,Тестировщик ПО / QA Engineer,40000,130000,RUR,Самара,2022-12-01T00:38:07+0300
1,Веб-дизайнер,30000,100000,RUR,Уфа,2022-12-01T02:00:51+0300
2,Заместитель главного механика (Камчатский край),None,350000,RUR,Красноярск,2022-12-01T03:15:50+0300
3,Эксперт по производству компьютерных экспертиз,45000,None,RUR,Уфа,2022-12-01T04:37:18+0300
4,Специалист по сопровождению 1С/Стажер,23000,28000,RUR,Барнаул,2022-12-01T05:07:05+0300
5,Водитель,35000,None,RUR,Комсомольск-на-Амуре,2022-12-01T04:47:05+0300
6,Начальник управления информационных технологий,None,None,,Хабаровск,2022-12-01T05:20:37+0300
7,Специалист группы администрирования базы данных,65000,85000,RUR,Красноярск,2022-12-01T04:45:49+0300
8,Главный специалист поддержки телекоммуникационных систем.,None,None,,Калуга,2022-12-01T01:27:20+0300
9,Специалист технической поддержки,35000,55000,RUR,Владивосток,2022-12-01T05:07:00+0300
10,Оператор электроэрозионного проволочно-вырезного станка,60000,60000,RUR,Новосибирск,2022-12-01T04:46:56+0300
11,Графический дизайнер,45000,60000,RUR,Хабаровск,2022-12-01T02:06:52+0300
12,Главный механик,None,None,,Южно-Сахалинск,2022-12-01T04:05:09+0300
13,1С разработчик,500000,700000,KZT,Алматы,2022-12-01T05:34:36+0300
14,Проект-менеджер,None,None,,Владивосток,2022-12-01T03:49:22+0300
15,Мастер по ремонту цифровой и бытовой техники,30000,None,RUR,Хабаровск,2022-12-01T03:59:49+0300
16,Сигналист на участок Улак-Февральск,70000,70000,RUR,Зея,2022-12-01T01:56:10+0300
17,Контент-менеджер,25000,50000,RUR,Астана,2022-12-01T00:05:58+0300
18,Специалист технической поддержки,None,None,,Москва,2022-12-01T01:27:20+0300
19,Инсталлятор / Специалист по подключению абонентов / Монтажник интернет-сетей,54000,None,RUR,Лесосибирск,2022-12-01T04:31:18+0300
20,Тестировщик ПО / QA Engineer,40000,130000,RUR,Самара,2022-12-01T00:38:07+0300
21,Веб-дизайнер,30000,100000,RUR,Уфа,2022-12-01T02:00:51+0300
22,Заместитель главного механика (Камчатский край),None,350000,RUR,Красноярск,2022-12-01T03:15:50+0300
23,Эксперт по производству компьютерных экспертиз,45000,None,RUR,Уфа,2022-12-01T04:37:18+0300
24,Специалист по сопровождению 1С/Стажер,23000,28000,RUR,Барнаул,2022-12-01T05:07:05+0300
25,Водитель,35000,None,RUR,Комсомольск-на-Амуре,2022-12-01T04:47:05+0300
26,Начальник управления информационных технологий,None,None,,Хабаровск,2022-12-01T05:20:37+0300
27,Специалист группы администрирования базы данных,65000,85000,RUR,Красноярск,2022-12-01T04:45:49+0300
28,Главный специалист поддержки телекоммуникационных систем.,None,None,,Калуга,2022-12-01T01:27:20+0300
29,Специалист технической поддержки,35000,55000,RUR,Владивосток,2022-12-01T05:07:00+0300
30,Оператор электроэрозионного проволочно-вырезного станка,60000,60000,RUR,Новосибирск,2022-12-01T04:46:56+0300
31,Графический дизайнер,45000,60000,RUR,Хабаровск,2022-12-01T02:06:52+0300
32,Главный механик,None,None,,Южно-Сахалинск,2022-12-01T04:05:09+0300
33,1С разработчик,500000,700000,KZT,Алматы,2022-12-01T05:34:36+0300
34,Проект-менеджер,None,None,,Владивосток,2022-12-01T03:49:22+0300
35,Мастер по ремонту цифровой и бытовой техники,30000,None,RUR,Хабаровск,2022-12-01T03:59:49+0300
36,Сигналист на участок Улак-Февральск,70000,70000,RUR,Зея,2022-12-01T01:56:10+0300
37,Контент-менеджер,25000,50000,RUR,Астана,2022-12-01T00:05:58+0300
38,Специалист технической поддержки,None,None,,Москва,2022-12-01T01:27:20+0300
39,Инсталлятор / Специалист по подключению абонентов / Монтажник интернет-сетей,54000,None,RUR,Лесосибирск,2022-12-01T04:31:18+0300
40,Тестировщик ПО / QA Engineer,40000,130000,RUR,Самара,2022-12-01T00:38:07+0300
41,Веб-дизайнер,30000,100000,RUR,Уфа,2022-12-01T02:00:51+0300
42,Заместитель главного механика (Камчатский край),None,350000,RUR,Красноярск,2022-12-01T03:15:50+0300
43,Эксперт по производству компьютерных экспертиз,45000,None,RUR,Уфа,2022-12-01T04:37:18+0300
44,Специалист по сопровождению 1С/Стажер,23000,28000,RUR,Барнаул,2022-12-01T05:07:05+0300
45,Водитель,35000,None,RUR,Комсомольск-на-Амуре,2022-12-01T04:47:05+0300
46,Начальник управления информационных технологий,None,None,,Хабаровск,2022-12-01T05:20:37+0300
47,Специалист группы администрирования базы данных,65000,85000,RUR,Красноярск,2022-12-01T04:45:49+0300
48,Главный специалист поддержки телекоммуникационных систем.,None,None,,Калуга,2022-12-01T01:27:20+0300
49,Специалист технической поддержки,35000,55000,RUR,Владивосток,2022-12-01T05:07:00+0300
50,Оператор электроэрозионного проволочно-вырезного станка,60000,60000,RUR,Новосибирск,2022-12-01T04:46:56+0300
51,Графический дизайнер,45000,60000,RUR,Хабаровск,2022-12-01T02:06:52+0300
52,Главный механик,None,None,,Южно-Сахалинск,2022-12-01T04:05:09+0300
53,1С разработчик,500000,700000,KZT,Алматы,2022-12-01T05:34:36+0300
54,Проект-менеджер,None,None,,Владивосток,2022-12-01T03:49:22+0300
55,Мастер по ремонту цифровой и бытовой техники,30000,None,RUR,Хабаровск,2022-12-01T03:59:49+0300
56,Сигналист на участок Улак-Февральск,70000,70000,RUR,Зея,2022-12-01T01:56:10+0300
57,Контент-менеджер,25000,50000,RUR,Астана,2022-12-01T00:05:58+0300
58,Специалист технической поддержки,None,None,,Москва,2022-12-01T01:27:20+0300
